,file_contents
1813,"than thirty, he dressed in jeans and t-shirt, which bore his us university logos. he had like
"
1814,"five degrees from all the top universities — mit, cornell, princeton etc, and t-shirts from all
"
1815,"of them. he carried this cd-man with him, and after class, he would plug it into his ears
"
1816,"before he left. students said prof veera had just joined the insti, and was not supposed to be
"
1817,"taking a full course so early. however, the prof he was assisting had a heart attack or
"
1818,"something, and prof veera had to teach us.
"
1819,"“hi everyone,” prof veera said as he entered class. he offered chewing gum to the first
"
1820,"row students. the front row guys were all mugging nine-pointers, and freaked out at his
"
1821,"offer. they declined, and he shrugged and popped a piece in his mouth and turned to the
"
1822,"board.
"
1823,"“turbulent flows,” he wrote in big letters on the board.
"
1824,"“guys, in the first five lectures, we studied simple flows called laminar flows. the shape
"
1825,"and direction of these flows are predictable with the help of formulas and equations. you
"
1826,"know which equation, right?”
"
1827,"he looked around for answers. unlike other profs, he did not stick to the first row. in fact,
"
1828,"he scavenged at the back. “okay, i am not going to ask the studious kids all the questions. i
"
1829,"want to ask the cool dudes at the back.”
"
1830,"ryan and i were chronic backbenchers; out of sight, this was the most defensive position
"
1831,"for the outcaste five-pointers, but prof veera did not care.
"
1832,"“ryan, tell me, which is the first principle equation for laminar flows?”
"
1833,"“sir, me?” ryan said, surprised that a prof would know his name.
"
1834,"“yes you, ryan. i know you know the answer.”
"
1835,"“the navier-stokes equation.”
"
1836,"“right. you want to write 1t down for the class?”
"
1837,"ryan ran up to the board and the nine-pointers in the front row smirked at a five-pointer
"
1838,"contributing to class. the equation was right though; ryan doesn’t go up to the board unless
"
1839,"he knows he’s right.
"
1840,"“perfect, thanks ryan. by the way, was it you who wrote the impact of lubricant
"
1841,"efficiency on scooter fuel consumption in your last term paper?”
"
1842,"“well, yes sir.”
"
1843,"“ts it true you actually tested the data on your scooter?”
"
1844,"“yes i did, sir. not accurately though.”
"
1845,"“t like that,” prof veera said, looking at the nine-pointers who were busy taking frantic
"
1846,"notes like trained parrots. “i really like that.”
"
1847,"ryan came back to his seat. i could tell he loved fluid mechanics, and most of all, he
"
1848,"loved prof veera. he never missed flumech and he would do anything for prof veera.
"
1849,"others however — the testy design prof, the painfully dull solid mechanics prof and the
"
1850,"assignment-maniac thermodynamics prof — were a different story. ryan could cut up their
"
1851,"guts with a lathe machine in the machining workshop given a chance.
"
1852,"i met neha at priya cinema a week after the flumech class. i would have said i met my
"
1853,"girlfriend but the damn problem was i was still not sure. i had known her for over a year,
"
1854,"but she called me different things depending on her mood. first, i was just a friend. then i
"
1855,"was a good friend, then a friend who was special, then really-really good and special
"
1856,"friends or some such crap. for her, calling someone a boyfriend was a big thing. her dad
"
1857,"had made her promise that she would never have a boyfriend, and she wanted to keep it. of
"
1858,"course, it did not prevent her from watching movies with me hand in hand every two weeks
"
1859,"for over a year.
"
1860,"“late again?” she said. i must have been late by like two minutes.
"
1861,"“had flumech class. prof veera overshot time and we did not even realize it.”
"
1862,"“prof veera is that young guy right?”
"
1863,"“yes, you know him?”
"
1864,"“not really. dad mentions him. i think my dad hates him.”
"
1865,"“your dad sounds like a total...”
"
1866,"she raised her eyebrows.
"
1867,"“let’s go in. i don’t want to miss the trailers.”
"
1868,"the movie was jotal recall, another sci-fi action crap. that’s the thing about english
"
1869,"theatres in delhi. they either show action or adult movies. i don’t mind the latter except that
"
1870,"you can’t really take a girl to them. especially these really nice and good-indian-traditional
"
1871,"girls like neha. so, you have the choice of sci-fi action nonsense or a hindi movie. no self-
"
1872,"respecting girl will watch a hindi movie on a date. hence, there i was again, to watch
"
1873,"arnold flex his muscles and blow up planets.
"
1874,"“you like sci-fi,” she said as she took her seat.
"
1875,"“it do,” i said. what choice did i have anyway?
"
1876,"“typical iit engineer.”
"
1877,"yeah right. typical iit engineers, my girl, don’t skip design class to watch stupid movies.
"
1878,"and then just when i thought it couldn’t get worse, it did. neha and i took our seats in the
"
1879,"balcony (rs 35/ticket, total rip-off) and waited for the trailers to begin. however, according
"
1880,"to a new government regulation, the theatre had to screen a ‘family planning documentary’
"
1881,"first.
"
1882,"okay, so india has this big population. so maybe people should just use some protection
"
1883,"and we would have less new people. simple enough, right? so you would think. apparently,
"
1884,"nobody wants to use contraception, so the government has to show people a more permanent
"
1885,"way to not have kids.
"
1886,"the documentary began; a doctor in a government hospital introduced himself with a
"
1887,"beatific smile. he was supposed to be your friend in family planning, though i think he was
"
1888,"the angel of death, especially when he recommended one sure shot procedure — vasectomy.
"
1889,"the documentary showed this mill worker who had this idyllic home where he lived with
"
1890,"his simple wife (who cooked all the time) and two kids. then one day he sleeps and has a
"
1891,"dream that he has six kids or something (obviously that would have taken a lot of screwing
"
1892,"his wife, but they skipped all that). the kids need more food, education, toys and keep
"
1893,"asking dad for more. but dad 1s tired from the mill job (not to mention the screwing) and
"
1894,"breaks down. that is when our friend in family planning or angel of death appears.
"
1895,"the doctor had this portable flip-chart with a picture of the male anatomy. he opened it,
"
1896,"and the whole theatre, especially the front rows, started hooting. (theatres are the opposite
"
1897,"of class lectures, the front row is where the action 1s.)
"
1898,"anyway, so all this is going on when i am on my date. i had never approached the topic of
"
1899,"sex (let alone controlling sex) with neha. but there he was, the angel of death, showing the
"
1900,"exact location of the cuts so that the male organ came under control. i was embarrassed like
"
1901,"every other man in the balcony.
"
1902,"neha looked at me, noticing i was shifting around in my seat.
"
1903,"“you all right?”
"
1904,"“don’t you think this 1s too much? why do they have show this indecent stuff?”
"
1905,"“what? it is educational.”
"
1906,"“yeah, right. i need that when i come to see a movie.”
"
1907,"“oh come on hari. i actually think it is pretty funny.”
"
1908,"the wife on screen listened carefully to the doctor and smiled at the prospect of sex
"
1909,"without any consequences. i think the doctor and the wife had a thing going, but that was just
"
